cluster,gene,score,logfoldchange,pval,pval_adj
2,si:dkey-79f11.10,-0.07286815,-7.365744,0.9419110380263975,0.9530507056704078
2,si:dkey-165o8.2,-0.07286815,-6.5118766,0.9419110380263975,0.9530507056704078
2,th,-0.07593393,-21.134394,0.939471659444227,0.9523280886408788
3,syt1a,50.834324,5.5261626,0.0,0.0
3,stx1b,42.654274,4.4894886,0.0,0.0
3,pclob,41.99939,4.192445,0.0,0.0
3,elavl3,41.34041,4.8599896,0.0,0.0
3,snap25a,38.201645,4.531115,0.0,0.0
3,grin1a,37.72972,4.8372364,0.0,0.0
3,sv2a,37.29787,4.721653,1.7769175665017054e-304,5.076907332862015e-302
3,pax6a,36.71152,4.5804744,4.782822005627151e-295,1.1957055014067878e-292
3,ndrg4,35.648254,3.2758102,2.5077196823866114e-278,5.572710405303582e-276
3,slc32a1,35.52247,5.381988,2.211882744610135e-276,4.42376548922027e-274
3,nrxn1a,34.880344,4.292971,1.476824294691806e-266,2.685135081257829e-264
3,pax6b,34.786198,3.9122663,3.9328920015751457e-265,6.554820002625243e-263
3,gad2,31.466072,3.8687668,2.5305152048231716e-217,3.893100315112572e-215
3,pcloa,30.315878,2.8144624,7.080894695414236e-202,7.867660772682486e-200
3,atp1a3a,30.274857,3.145504,2.4570168335844677e-201,2.586333509036282e-199
3,shisa7b,30.200083,4.75615,2.3626539630555463e-200,2.3626539630555463e-198
3,slc6a1b,29.908379,4.5116334,1.5312426293237808e-196,1.4583263136416958e-194
3,grin1b,29.834055,3.6724014,1.4135978073176905e-195,1.285088915743355e-193
3,gria3b,29.756622,5.4911213,1.423677622597078e-194,1.2379805413887636e-192
3,tfap2a,29.752811,4.109171,1.594810362488928e-194,1.32900863540744e-192
3,map1aa,28.936039,3.6769996,4.205547076153572e-184,3.3644376609228574e-182
3,nat16,28.443155,2.5537806,5.921943799286854e-178,4.555341384066811e-176
3,stmn1b,28.352564,2.5961018,7.7825127143815426e-177,5.558937653129673e-175
3,rbfox1,27.977644,4.31587,3.0401242269352875e-172,2.096637397886405e-170
3,map4l,27.700182,2.6192589,6.947008442386e-169,4.631338961590667e-167
3,si:dkey-205h13.1,26.583565,2.9259439,1.0515229301320486e-155,6.784018904077733e-154
3,mdkb,26.4714,2.864057,2.069610607880322e-154,1.293506629925201e-152
3,atp2b3b,26.049423,4.2048078,1.3657391890099764e-149,8.277207206121068e-148
3,ppfia4,25.838804,4.0978866,3.250872635207253e-147,1.9122780207101487e-145
3,pcbp3,25.720963,2.4980116,6.8131871709729945e-146,3.893249811984568e-144
3,gpm6ab,25.542366,2.804934,6.67482210484593e-144,3.708234502692184e-142
3,nrxn3a,25.397194,3.93802,2.7084230369712082e-142,1.4640124524168693e-140
3,nrxn2a,25.171,5.143375,8.324889136567945e-140,4.3815205981936557e-138
3,iqsec3a,23.911957,3.0261014,2.3001312223915113e-126,1.1500656111957555e-124
3,nfasca,23.805683,2.7650628,2.916502610215409e-125,1.4226842001050776e-123
3,maptb,23.038624,3.6775632,1.9127271246702676e-117,9.10822440319175e-116
3,glra1,23.02297,4.563601,2.7448070919654608e-117,1.2766544613792843e-115
3,cabp1b,22.87963,5.093952,7.412984282676343e-116,3.369538310307429e-114
3,pde4ba,22.748981,2.5183873,1.4686933161750509e-114,6.527525849666893e-113
3,basp1,22.734093,3.4871454,2.061895826644637e-114,8.964764463672335e-113
3,srrm4,22.016077,4.0336633,2.0201037021219584e-107,8.417098758841493e-106
3,tiam1a,21.883852,3.5134895,3.702115994611313e-106,1.5110677529025767e-104
3,gad1b,21.82416,2.7161534,1.368308456082998e-105,5.473233824331991e-104
3,slc38a3a,21.751066,2.325919,6.7492101586093876e-105,2.646749081807603e-103
3,marcksl1b,21.643965,1.8800285,6.928132829911692e-104,2.6646664730429587e-102
3,adgrb1a,21.56796,4.7681994,3.591879957940999e-103,1.3554263992230185e-101
3,meis2a,21.208279,4.5282397,8.00898368663343e-100,2.966290254308678e-98
3,tmem178b,21.101732,2.597328,7.667615731667848e-99,2.788223902424672e-97
3,slc12a5b,21.04976,2.2411773,2.298333866729904e-98,8.208335238321085e-97
3,nat8l,20.48882,3.8444483,2.708871577325558e-93,9.5048125520195e-92
4,mt-co2,42.149887,1.331144,0.0,0.0
4,rho,39.946587,3.580159,0.0,0.0
4,ppdpfa,38.207592,3.5066516,0.0,0.0
4,pde6gb,35.447758,3.0426495,3.140696130339607e-275,1.5703480651698037e-272
4,guca1a,26.338516,2.6588724,6.948540165464491e-153,2.779416066185796e-150
4,si:ch211-113d22.2,25.68144,2.249119,1.8843339171530583e-145,6.28111305717686e-143
4,zgc:158463,17.014805,0.5476185,6.378584675217134e-65,1.8224527643477526e-62
4,rbp4l,10.035778,0.8956766,1.0611927985639418e-23,5.176550236897277e-22
4,rbp3,7.1303844,0.6560788,1.000888509467068e-12,1.5280740602550656e-11
4,pde6ha,5.6388764,0.24663381,1.7116340016913453e-08,1.5996579455059303e-07
4,aplp2,4.558954,0.27880484,5.140912129720629e-06,3.2466331298398956e-05
4,fabp7a,2.9801607,0.30933577,0.0028809728768640075,0.01045725182164794
4,insb,2.2116575,1.7673596,0.026990336733180464,0.06920599162353964
4,fthl28,1.6361681,1.6229545,0.10180439607247495,0.20099584614506408
4,apoc1,1.4663725,0.14177372,0.14254684388507927,0.26203463949463096
4,s100z,0.8137205,1.1768093,0.4158050641524452,0.59270121388677
4,cox8b,0.52414805,0.9654598,0.6001755699927234,0.7606787959350105
4,nkl.1,0.117242776,1.0259404,0.9066676691283779,0.9551632335449654
4,si:ch211-266g18.10,0.047474533,-3.7674842,0.9621350279506447,0.9723446467414296
4,th,0.007245457,0.5684504,0.9942190124084125,0.9957125812803329
4,si:ch1073-70f20.1,-0.0001523173,0.8098789,0.9998784683809908,0.9998784683809908
4,LO017877.2,-0.0025720852,0.37874508,0.9979477751429505,0.9984469986422716
4,zgc:92749,-0.0037663914,1.7371569,0.9969948616051548,0.9979928544596144
4,scpp1,-0.0074254684,1.7864051,0.9940753879952359,0.9957125812803329
4,hist1h2a3,-0.008380913,0.5184292,0.9933130771277264,0.9957125812803329
4,nkl.3,-0.011029157,-19.631308,0.9912001843221445,0.9941827325197037
4,tbr1b,-0.011105316,0.7822653,0.9911394222337169,0.9941827325197037
4,hbbe2,-0.0257347,-19.889078,0.9794689466973139,0.983402556925014
4,mpx,-0.0257347,-20.011295,0.9794689466973139,0.983402556925014
4,slc6a4b,-0.029497629,0.19096899,0.9764677097184691,0.9813745826316272
4,CR293511.1,-0.02973649,-0.6190792,0.9762772096117567,0.9813745826316272
4,epor,-0.036763858,-20.50855,0.9706732927755909,0.9765324877018017
4,eya4,-0.03700618,1.1395297,0.9704800784969693,0.9765324877018017
4,zgc:172143,-0.040440243,-20.969435,0.9677421477540625,0.974564096429066
4,cd8a,-0.040440243,-20.201252,0.9677421477540625,0.974564096429066
4,krt91,-0.040807188,-0.3514527,0.9674496085224014,0.974564096429066
4,zgc:154164,-0.04335158,1.0723542,0.9654212751616096,0.9736977056597171
4,klf17,-0.044116627,-20.707857,0.9648114384844914,0.9735736008925241
4,si:dkey-21e2.10,-0.044116627,-21.063627,0.9648114384844914,0.9735736008925241
4,cxcl11.1,-0.044116627,-20.542372,0.9648114384844914,0.9735736008925241
4,nefmb,-0.047793012,-20.102243,0.9618812045068105,0.9723446467414296
4,cxcr3.1-1,-0.047793012,-20.886671,0.9618812045068105,0.9723446467414296
4,sfrp2,-0.047848403,0.09298097,0.9618370616928456,0.9723446467414296
4,h2af1al,-0.04800072,-6.0100803,0.9617156695580705,0.9723446467414296
4,si:dkey-21e2.12-1,-0.0514694,-21.364374,0.9589514853416938,0.9715820520179269
4,slc6a22.2,-0.0514694,-21.0503,0.9589514853416938,0.9715820520179269
4,plaat1,-0.051476322,1.3959271,0.958945968490341,0.9715820520179269
4,adrb3a,-0.055145785,-20.90179,0.9560223204889574,0.9700886052653043
4,si:ch211-152c8.2,-0.05535349,-5.2943635,0.9558568483002171,0.9700886052653043
4,tac3a,-0.058929484,-0.84308726,0.9530082731502745,0.9680124663791513
