group,n_egfp_pos,n_egfp_neg,gene,score,logfoldchange,pval,pval_adj
Muller glia,205,1602,kpna1,8.971411,1.14642,2.9273963872331517e-19,1.0457139525286692e-16
Muller glia,205,1602,stx5a,8.970274,1.3033772,2.9577821827964196e-19,1.0457139525286692e-16
Muller glia,205,1602,sf3a1,8.968781,1.1632359,2.998136881160652e-19,1.0457139525286692e-16
Muller glia,205,1602,glulb,8.967786,1.3670259,3.025341729140936e-19,1.0457139525286692e-16
Muller glia,205,1602,uqcc1,8.96608,1.2235183,3.072547169147951e-19,1.0461793816383911e-16
Muller glia,205,1602,pfkpb,8.964375,1.2373462,3.120480195701855e-19,1.0468752162433296e-16
Muller glia,205,1602,dpp3,8.956413,1.5272948,3.3541178271977237e-19,1.1089491303168358e-16
Muller glia,205,1602,gcdha,8.9515085,1.3052198,3.506572741256295e-19,1.1427920563754267e-16
Muller glia,205,1602,capns1b,8.940989,1.4390961,3.85704637772557e-19,1.237918158571521e-16
Muller glia,205,1602,tjp2b,8.939567,1.3567253,3.906987569243392e-19,1.237918158571521e-16
Muller glia,205,1602,mvp,8.937079,1.5509222,3.995926460133564e-19,1.2487543881510546e-16
Muller glia,205,1602,prdx1,8.926772,1.2943829,4.386190704166733e-19,1.3521914666777794e-16
Muller glia,205,1602,tmsb1,8.920517,1.5819002,4.6411584427487255e-19,1.4117166340590223e-16
Muller glia,205,1602,cops7a,8.916608,1.1590629,4.807891627552336e-19,1.44318989078094e-16
Muller glia,205,1602,ccdc85b,8.904026,1.3241557,5.385664817127566e-19,1.595625603547158e-16
Muller glia,205,1602,nupr1a,8.896136,1.2855631,5.7824512944294325e-19,1.6912187356387008e-16
Muller glia,205,1602,si:dkey-7j14.6,8.878579,1.3560888,6.771965504829005e-19,1.9397663922267467e-16
Muller glia,205,1602,mink1,8.878082,1.0610573,6.802319352042244e-19,1.9397663922267467e-16
Muller glia,205,1602,anxa13,8.876589,1.2827656,6.894189542541032e-19,1.9416931609134388e-16
Muller glia,205,1602,ndufaf3,8.851284,1.1111578,8.651784878667286e-19,2.406989858988254e-16
Muller glia,205,1602,si:ch211-11n16.2,8.846167,1.3983195,9.057710302631933e-19,2.489560784746293e-16
Muller glia,205,1602,zgc:63587,8.837139,1.4788917,9.820075864728962e-19,2.6669689369293074e-16
Muller glia,205,1602,cd99,8.833798,1.6994617,1.011799394206509e-18,2.7155505388274224e-16
Muller glia,205,1602,fundc2,8.814038,1.1718973,1.2071722964583041e-18,3.1916016240361206e-16
Muller glia,205,1602,prdx6,8.812332,1.17931,1.2256904839820695e-18,3.1916016240361206e-16
Muller glia,205,1602,si:ch1073-303k11.2,8.811834,1.621991,1.2311442726304238e-18,3.1916016240361206e-16
Muller glia,205,1602,lamp2,8.790866,1.1120551,1.4841215933783882e-18,3.8041871808697943e-16
Muller glia,205,1602,magoh,8.780985,1.2795385,1.6204880669431272e-18,4.107577141241506e-16
Muller glia,205,1602,psmd12,8.779492,1.1822644,1.6421387366050194e-18,4.11671549430443e-16
Muller glia,205,1602,rhebl1,8.77537,1.3645103,1.7034309040103626e-18,4.223953175346565e-16
Muller glia,205,1602,gdpd5a,8.772811,1.5819869,1.742604892562609e-18,4.2586318267129725e-16
Muller glia,205,1602,zgc:56235,8.772029,0.96879184,1.7547512019945618e-18,4.2586318267129725e-16
Muller glia,205,1602,sf3b5,8.76883,1.2279694,1.805317256645889e-18,4.335231850090807e-16
Muller glia,205,1602,dynll2b,8.761723,1.2273908,1.922894962300343e-18,4.569479455724762e-16
Muller glia,205,1602,si:ch211-183d21.1,8.756036,1.7350574,2.02237448133756e-18,4.756332891005542e-16
Muller glia,205,1602,eif4h,8.754401,1.1969786,2.0519037648379478e-18,4.77653883543348e-16
Muller glia,205,1602,zgc:175088,8.752481,1.4131403,2.0871121727397307e-18,4.809423231991057e-16
Muller glia,205,1602,zgc:162944,8.751131,1.3141803,2.112245393277221e-18,4.818665415683324e-16
Muller glia,205,1602,smdt1b,8.748359,1.2759756,2.164774635258594e-18,4.853878705987251e-16
Muller glia,205,1602,arvcfb,8.748075,1.2219007,2.1702346381918186e-18,4.853878705987251e-16
Muller glia,205,1602,ahnak,8.740895,1.1514211,2.31269680700615e-18,5.122286627012748e-16
Muller glia,205,1602,cadm4,8.739474,1.1665009,2.3419833475668183e-18,5.136593071354801e-16
Muller glia,205,1602,ISCU,8.738408,1.1270741,2.3641882807708505e-18,5.136593071354801e-16
Muller glia,205,1602,mrpl33,8.736488,1.238306,2.404682233229639e-18,5.175284508176202e-16
Muller glia,205,1602,btf3l4,8.729523,1.1570357,2.5574976283449396e-18,5.452728354713375e-16
Muller glia,205,1602,gskip,8.727106,1.15233,2.6127244268753242e-18,5.492365732966747e-16
Muller glia,205,1602,glrx5,8.726608,1.153046,2.6242399723551284e-18,5.492365732966747e-16
Muller glia,205,1602,ndel1a,8.707772,1.3837168,3.099062473942451e-18,6.401294638676386e-16
Muller glia,205,1602,tmem14ca,8.707203,1.2096692,3.1146438648712524e-18,6.401294638676386e-16
Muller glia,205,1602,mrpl27,8.703152,1.2985481,3.2279224280971182e-18,6.574874495730317e-16
Muller glia,205,1602,si:dkey-33c12.4,8.696683,1.0800073,3.417256409995841e-18,6.898614931939585e-16
Muller glia,205,1602,mapre3b,8.695688,1.1788265,3.4473418763034793e-18,6.898614931939585e-16
Muller glia,205,1602,arhgef12b,8.693626,1.2223934,3.5104960874604165e-18,6.935049025897845e-16
Muller glia,205,1602,atp6v1f,8.692205,1.2181859,3.554714847366614e-18,6.935049025897845e-16
Muller glia,205,1602,tegt,8.691636,1.1445991,3.572555919808489e-18,6.935049025897845e-16
Muller glia,205,1602,prlra,8.690855,1.4905239,3.597231818903591e-18,6.935049025897845e-16
Muller glia,205,1602,atp5if1a,8.690215,1.22638,3.61754628537169e-18,6.935049025897845e-16
Muller glia,205,1602,wnk1b,8.684102,1.1815757,3.817464269280002e-18,7.257317697923723e-16
Muller glia,205,1602,PKN2,8.682964,1.3471074,3.855843720415924e-18,7.269699404450287e-16
Muller glia,205,1602,aldh2.1,8.681188,1.25444,3.916575511379276e-18,7.323675175499625e-16
Muller glia,205,1602,pdxka,8.674435,1.1918044,4.1560910920608445e-18,7.708366348226344e-16
Muller glia,205,1602,pdrg1,8.672586,1.3838054,4.224125685357783e-18,7.771369295166703e-16
Muller glia,205,1602,epdr1,8.670952,1.287869,4.285225872925217e-18,7.773184861152937e-16
