cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,7dp_vs_ctrl,476,652,hsp70.3,7.926467,1.9524806,2.2546832293172784e-15,6.441952083763652e-13
Cones,7dp_vs_ctrl,476,652,hsp90aa1.2,7.757876,1.0368866,8.636355120637524e-15,2.159088780159381e-12
Cones,7dp_vs_ctrl,476,652,fabp7a,7.514057,1.5407195,5.732248761177272e-14,1.1464497522354543e-11
Cones,7dp_vs_ctrl,476,652,hsp70.2,7.089896,1.7928948,1.342128011367283e-12,2.440232747940514e-10
Cones,7dp_vs_ctrl,476,652,hsp70.1,6.3524256,1.6500965,2.1194617181360518e-10,2.493484374277708e-08
Cones,7dp_vs_ctrl,476,652,es1,6.332161,0.9255457,2.417507334527828e-10,2.6861192605864757e-08
Cones,7dp_vs_ctrl,476,652,hmgn2,6.303199,1.2056198,2.915640669289024e-10,3.069095441356867e-08
Cones,7dp_vs_ctrl,476,652,marcksl1b,5.7329316,1.2922919,9.870942693966642e-09,8.973584267242402e-07
Cones,7dp_vs_ctrl,476,652,rcvrn3,5.642159,0.87293833,1.6793099555693565e-08,1.460269526582049e-06
Cones,7dp_vs_ctrl,476,652,tmsb4x,5.552404,0.7602643,2.8176743437152145e-08,2.348061953096012e-06
Cones,7dp_vs_ctrl,476,652,guca1c,5.1121426,0.50322443,3.185255573736976e-07,2.4501965951822894e-05
Cones,7dp_vs_ctrl,476,652,guca1a,4.8855343,1.0908141,1.0314867152482598e-06,7.640642335172295e-05
Cones,7dp_vs_ctrl,476,652,gadd45ga,4.4731245,1.4492551,7.7084827326825e-06,0.0005316194988056896
Cones,7dp_vs_ctrl,476,652,rs1a,4.362643,1.1277807,1.2850064872868674e-05,0.0008248106251685134
Cones,7dp_vs_ctrl,476,652,si:ch211-222l21.1,4.3612547,1.0695568,1.2931863338015383e-05,0.0008248106251685134
Cones,7dp_vs_ctrl,476,652,actb1,4.3568134,0.9747342,1.3196970002696213e-05,0.0008248106251685134
Cones,7dp_vs_ctrl,476,652,dnajb1b,4.280568,1.1243849,1.8641693044212307e-05,0.0010652396025264174
Cones,7dp_vs_ctrl,476,652,fosab,4.2557697,1.6104474,2.0833104356369322e-05,0.0011573946864649625
Cones,7dp_vs_ctrl,476,652,hspa5,3.9708674,1.3113724,7.161144604217268e-05,0.0038708889752525778
Cones,7dp_vs_ctrl,476,652,stmn1b,3.951621,0.7916769,7.762362717122866e-05,0.0040854540616436135
Cones,7dp_vs_ctrl,476,652,actb2,3.9402397,0.4785695,8.140025089260443e-05,0.004174371840646381
Cones,7dp_vs_ctrl,476,652,tnc,3.823188,1.9465796,0.00013173716714327116,0.006273198435393865
Cones,7dp_vs_ctrl,476,652,crabp1a,3.7561033,1.1346978,0.00017257946278901706,0.0080269517576287
Cones,7dp_vs_ctrl,476,652,atf3,3.679673,1.3728794,0.00023353333124359062,0.010615151420163211
Cones,7dp_vs_ctrl,476,652,zbtb18,3.6644053,0.8855835,0.0002479139526137043,0.011018397893942412
Cones,7dp_vs_ctrl,476,652,hspa4a,3.6323895,1.2686186,0.00028080869406665545,0.012165421394544433
Cones,7dp_vs_ctrl,476,652,rlbp1a,3.526812,0.8654875,0.00042059533975947637,0.017203187368006086
Cones,7dp_vs_ctrl,476,652,syt5b,3.5262568,1.0071801,0.00042147809051614913,0.017203187368006086
Cones,7dp_vs_ctrl,476,652,rpgra,3.4658341,1.1013763,0.0005285892045701236,0.020936829190501983
Cones,7dp_vs_ctrl,476,652,rho,3.4631507,0.64667326,0.0005338891443578005,0.020936829190501983
Cones,7dp_vs_ctrl,476,652,icn,3.4273415,0.84841126,0.0006095223571985218,0.02344316758455853
Cones,7dp_vs_ctrl,476,652,map1b,3.402728,1.0616609,0.0006671662682758936,0.02517608559531674
Cones,7dp_vs_ctrl,476,652,CABZ01080568.1,3.3377714,1.8289624,0.000844531637134091,0.03071024135033058
Cones,7dp_vs_ctrl,476,652,apoc1,3.2375607,1.4674947,0.0012055631255282917,0.04230046054485234
Cones,7dp_vs_ctrl,476,652,abcc13,3.1813018,1.743692,0.0014661474943013547,0.05055681014832258
Cones,7dp_vs_ctrl,476,652,adarb1a,3.1290221,0.99036914,0.0017538917468710906,0.059453957521053924
Cones,7dp_vs_ctrl,476,652,junba,3.1101458,1.2718112,0.0018699506973448396,0.061309858929339
Cones,7dp_vs_ctrl,476,652,tubb5,3.086643,1.1611162,0.0020243062805652863,0.0653002025988802
Cones,7dp_vs_ctrl,476,652,nr2e3,3.0592537,1.0674345,0.00221889106432532,0.06934034576016625
Cones,7dp_vs_ctrl,476,652,gpm6ab,2.8864062,0.816194,0.003896688700495718,0.1180814757725975
Cones,7dp_vs_ctrl,476,652,socs3a,2.8678076,1.0874352,0.0041332691248620775,0.12338116790633066
Cones,7dp_vs_ctrl,476,652,si:ch211-81a5.8,2.8591096,0.38135874,0.004248319531917708,0.12476574880640738
