sample,condition,replicate,n_cells,n_genes,total_counts,median_counts_per_cell,median_genes_per_cell,egfp_feature
10dp1,10dp,1,4124,25433,17932948.0,1232.0,504.0,EGFP
10dp2,10dp,2,2517,25433,15987928.0,1275.0,599.0,EGFP
3dp1,3dp,1,2873,25433,10324831.0,1095.0,453.0,EGFP
3dp2,3dp,2,2388,25433,11730700.0,1308.5,597.5,EGFP
7dp1,7dp,1,3444,25433,15630329.0,1012.5,401.0,EGFP
7dp2,7dp,2,1480,25433,7171764.0,1314.0,594.0,EGFP
ctrl1,ctrl,1,1155,25433,4511528.0,1146.0,574.0,EGFP
ctrl2,ctrl,2,2116,25433,4751474.0,975.5,572.5,EGFP
