sample,condition,cell_type,n_cells,egfp_positive,mean_egfp,median_egfp,egfp_positive_fraction,egfp_positive_percent
7dp2,7dp,Unresolved,18,1,0.0011,0.0,0.0556,5.56
7dp2,7dp,Rods (low quality),28,0,0.0,0.0,0.0,0.0
10dp1,10dp,Muller glia,415,31,0.0909,0.0,0.0747,7.47
10dp1,10dp,Rods,1070,10,0.0117,0.0,0.0093,0.93
10dp1,10dp,Cones,457,6,0.014,0.0,0.0131,1.31
10dp1,10dp,Bipolar cells,201,8,0.0614,0.0,0.0398,3.98
10dp1,10dp,Amacrine cells,283,8,0.0231,0.0,0.0283,2.83
10dp1,10dp,Horizontal cells,102,1,0.0075,0.0,0.0098,0.98
10dp1,10dp,Retinal ganglion cells,33,3,0.0771,0.0,0.0909,9.09
10dp1,10dp,Microglia,149,2,0.0033,0.0,0.0134,1.34
10dp1,10dp,Oligodendrocytes,19,0,0.0,0.0,0.0,0.0
10dp1,10dp,Erythrocytes,64,0,0.0,0.0,0.0,0.0
10dp1,10dp,Pericytes,22,1,0.0191,0.0,0.0455,4.55
10dp1,10dp,RPE,173,2,0.0247,0.0,0.0116,1.16
10dp1,10dp,Unresolved,95,0,0.0,0.0,0.0,0.0
10dp1,10dp,Rods (low quality),250,0,0.0,0.0,0.0,0.0
10dp2,10dp,Muller glia,315,28,0.1382,0.0,0.0889,8.89
10dp2,10dp,Rods,531,4,0.0098,0.0,0.0075,0.75
10dp2,10dp,Cones,352,15,0.0161,0.0,0.0426,4.26
10dp2,10dp,Bipolar cells,162,2,0.0176,0.0,0.0123,1.23
10dp2,10dp,Amacrine cells,203,11,0.0522,0.0,0.0542,5.42
10dp2,10dp,Horizontal cells,57,0,0.0,0.0,0.0,0.0
10dp2,10dp,Retinal ganglion cells,16,2,0.1638,0.0,0.125,12.5
10dp2,10dp,Microglia,108,4,0.0304,0.0,0.037,3.7
10dp2,10dp,Oligodendrocytes,24,1,0.0933,0.0,0.0417,4.17
10dp2,10dp,Erythrocytes,14,0,0.0,0.0,0.0,0.0
10dp2,10dp,Pericytes,9,0,0.0,0.0,0.0,0.0
10dp2,10dp,RPE,228,0,0.0,0.0,0.0,0.0
10dp2,10dp,Unresolved,37,3,0.0172,0.0,0.0811,8.11
10dp2,10dp,Rods (low quality),101,4,0.0784,0.0,0.0396,3.96
