subcluster,n_cells,rho,rhol,pde6ga,pde6gb,guca1a,guca1b
0,342,6.787,1.338,4.345,5.169,1.998,1.582
1,3123,7.637,1.284,3.947,5.723,2.923,1.03
2,1789,6.204,1.695,4.3,4.734,1.621,1.87
3,40,5.813,1.594,3.958,4.229,1.829,1.863
